('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515312 function calls (496468 primitive calls) in 7.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       21    0.000    0.000    1.423    0.068 response.py:754(_handle_chunk)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      261    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
      306    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      193    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      199    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       21    0.000    0.000    0.015    0.001 response.py:397(_decode)
     1417    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      181    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      384    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       98    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
     1417    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
  150/149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    89/54    0.000    0.000    0.119    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.386    0.386 connection.py:356(connect)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       31    0.000    0.000    0.001    0.000 typing.py:483(Union)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      323    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
       25    0.000    0.000    1.422    0.057 client.py:623(_safe_read)
    224/3    0.000    0.000    0.199    0.066 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      306    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      692    0.000    0.000    0.000    0.000 os.py:758(decode)
      358    0.000    0.000    0.000    0.000 os.py:754(encode)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1468(__init__)
        1    0.000    0.000    0.005    0.005 ssl_.py:250(create_urllib3_context)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.any}
