('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         686607 function calls (658497 primitive calls) in 2.108 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       77    0.000    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
    75/26    0.000    0.000    0.243    0.009 {built-in method builtins.__import__}
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 typing.py:1341(<genexpr>)
       72    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       72    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       71    0.000    0.000    0.004    0.000 typing.py:523(Optional)
       71    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.000    0.000 dataclasses.py:818(_set_qualname)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.003    0.000 _htmlparser.py:107(handle_startendtag)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       68    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       68    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       66    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       65    0.000    0.000    0.002    0.000 typing.py:1222(__getitem__)
       64    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       64    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       63    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       63    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
